rowkey,time,id,is_risk,trade_time_diff
7285,2015-01-25 15:20:16,134,1,
7314,2015-01-26 10:59:14,134,1,70738.0
54042,2015-01-09 10:08:42,228,1,
54040,2015-01-17 10:24:00,228,1,692118.0
58244,2015-01-18 13:57:19,228,1,99199.0
54039,2015-01-20 10:08:37,228,1,159078.0
58230,2015-02-14 09:52:41,228,1,2159044.0
54037,2015-02-21 09:23:38,228,1,603057.0
58245,2015-03-02 09:08:23,228,1,776685.0
54041,2015-03-28 13:24:33,228,1,2261770.0
58231,2015-03-30 08:58:54,228,1,156861.0
58235,2015-04-11 08:18:08,228,1,1034354.0
54036,2015-06-19 20:21:42,228,1,6005014.0
518850,2015-04-16 17:30:41,547,1,
533230,2015-03-31 14:17:11,714,1,
533229,2015-06-04 23:03:02,714,1,1407894.0
533238,2015-06-20 11:56:22,714,1,1342400.0
394134,2015-02-07 09:52:43,1051,1,
394120,2015-03-01 11:14:12,1051,1,1905689.0
394101,2015-05-02 22:26:22,1051,1,5397130.0
369584,2015-01-24 03:35:27,1075,1,
759195,2015-01-11 07:36:10,1278,1,
759191,2015-01-30 13:09:29,1278,1,1661599.0
759255,2015-02-07 09:54:42,1278,1,679513.0
759113,2015-03-26 23:01:18,1278,1,4107996.0
759282,2015-06-05 07:07:34,1278,1,6077176.0
565842,2015-02-28 14:27:43,1282,1,1361120.0
605836,2015-04-11 11:15:07,1291,1,
569966,2015-04-14 12:34:58,1291,1,263991.0
569996,2015-05-10 12:55:45,1291,1,2247647.0
605898,2015-06-10 18:15:14,1291,1,2697569.0
464610,2015-01-07 14:06:32,1437,1,
464634,2015-06-11 10:24:12,1437,1,13378660.0
464630,2015-06-11 12:28:15,1437,1,7443.0
464607,2015-06-21 15:02:24,1437,1,873249.0
439495,2015-02-20 08:49:29,2116,1,
315234,2015-06-08 21:42:08,2135,1,
150341,2015-01-11 09:01:15,2536,1,
150374,2015-02-01 23:36:06,2536,1,1866891.0
150333,2015-03-14 21:33:26,2536,1,3535040.0
150331,2015-04-06 14:53:43,2536,1,1963217.0
150366,2015-04-12 09:31:08,2536,1,499045.0
150368,2015-04-21 10:01:34,2536,1,779426.0
150363,2015-05-15 10:58:04,2536,1,2076990.0
150345,2015-05-30 15:47:25,2536,1,1313361.0
150365,2015-06-16 13:29:13,2536,1,1460508.0
905009,2015-03-17 11:12:46,2711,1,
669790,2015-01-10 11:27:07,2935,1,
695894,2015-02-28 16:38:07,3117,1,
695825,2015-03-07 13:10:21,3117,1,592334.0
252397,2015-03-25 01:26:58,3169,1,
252227,2015-04-15 12:53:39,3169,1,1855601.0
252229,2015-04-17 07:44:18,3169,1,154239.0
252228,2015-04-27 01:05:41,3169,1,840083.0
252394,2015-04-28 09:53:45,3169,1,118084.0
286237,2015-05-05 12:31:17,3169,1,614252.0
252230,2015-05-11 21:48:45,3169,1,551848.0
252403,2015-05-17 14:30:08,3169,1,492083.0
252402,2015-05-20 10:13:26,3169,1,243798.0
252396,2015-06-06 10:01:07,3169,1,1468061.0
261653,2015-01-03 13:07:53,3416,1,
261494,2015-02-09 19:03:06,3416,1,3218113.0
261407,2015-02-13 18:13:12,3416,1,342606.0
261670,2015-03-03 17:54:10,3416,1,1554058.0
261623,2015-03-31 10:41:44,3416,1,2393254.0
261677,2015-04-01 22:27:26,3416,1,128742.0
261611,2015-04-13 13:01:23,3416,1,1002837.0
261669,2015-04-18 13:45:34,3416,1,434651.0
261648,2015-06-07 10:36:13,3416,1,4308639.0
261673,2015-06-11 22:06:40,3416,1,387027.0
261474,2015-06-27 14:30:03,3416,1,1355003.0
453408,2015-01-23 16:44:29,3474,1,
453410,2015-03-02 08:43:04,3474,1,3254315.0
453412,2015-03-10 15:28:30,3474,1,715526.0
453396,2015-03-20 16:57:46,3474,1,869356.0
453399,2015-06-15 14:57:25,3474,1,3505118.0
655022,2015-04-24 13:57:54,3476,1,
447911,2015-01-13 14:14:19,3680,1,
447933,2015-03-01 16:51:38,3680,1,4070239.0
447907,2015-03-18 18:38:41,3680,1,1475223.0
447914,2015-06-07 09:24:39,3680,1,6965158.0
447944,2015-06-14 18:14:22,3680,1,636583.0
447930,2015-06-30 19:41:19,3680,1,1387617.0
461324,2015-06-23 01:28:53,3817,1,
698515,2015-01-02 17:36:41,3834,1,
700019,2015-02-26 18:46:08,3834,1,4756167.0
699090,2015-03-05 13:08:38,3834,1,584550.0
700081,2015-03-09 20:00:04,3834,1,370286.0
700152,2015-03-15 07:25:12,3834,1,473108.0
699008,2015-03-21 19:43:57,3834,1,562725.0
699021,2015-03-21 19:44:21,3834,1,24.0
699147,2015-04-14 13:37:37,3834,1,2051596.0
699059,2015-04-30 19:19:38,3834,1,1402921.0
699022,2015-05-09 15:05:34,3834,1,762356.0
699146,2015-06-06 06:22:41,3834,1,2387827.0
699125,2015-06-23 09:59:24,3834,1,1481803.0
453335,2015-02-19 22:34:11,3971,1,
453347,2015-06-13 14:26:48,3971,1,9820357.0
655210,2015-04-05 12:47:57,4167,1,313630.0
603036,2015-06-02 09:29:59,4378,1,62588.0
320095,2015-03-30 01:08:57,4494,1,
320085,2015-04-30 09:41:33,4494,1,2709156.0
320104,2015-04-30 14:06:02,4494,1,15869.0
320094,2015-06-01 06:25:38,4494,1,2737176.0
923651,2015-04-13 13:13:10,4524,1,
335878,2015-01-11 16:24:54,4652,1,
332058,2015-03-03 17:38:40,4652,1,3743391.0
332043,2015-06-21 17:00:22,4652,1,9501702.0
332052,2015-06-25 09:07:16,4652,1,317214.0
332050,2015-06-25 09:07:25,4652,1,9.0
332042,2015-06-27 12:25:55,4652,1,184710.0
566979,2015-05-26 19:22:05,5084,1,7521343.0
639826,2015-02-20 13:10:00,5732,1,
639830,2015-03-22 12:26:24,5732,1,1040504.0
639827,2015-04-19 11:07:10,5732,1,2414446.0
639825,2015-04-19 11:07:19,5732,1,9.0
639822,2015-06-19 12:48:25,5732,1,139863.0
639821,2015-06-19 22:22:47,5732,1,34462.0
118435,2015-01-17 12:13:08,5965,1,
118425,2015-01-18 03:02:51,5965,1,53383.0
118406,2015-03-15 15:00:04,5965,1,4881433.0
118442,2015-03-16 15:15:59,5965,1,87355.0
158903,2015-01-12 15:07:36,6133,1,
159061,2015-05-15 07:36:23,6133,1,10600127.0
159040,2015-05-15 07:37:56,6133,1,93.0
158978,2015-06-06 00:07:32,6133,1,1873776.0
159050,2015-06-13 16:22:36,6133,1,663304.0
158988,2015-06-28 09:33:16,6133,1,1271440.0
348051,2015-06-18 11:23:57,6740,1,
475099,2015-01-15 19:19:04,6892,1,
475101,2015-03-07 17:38:46,6892,1,4400382.0
796118,2015-06-20 17:59:59,6892,1,9073273.0
498346,2015-04-19 21:57:14,6988,1,547200.0
503167,2015-04-20 19:23:45,6988,1,77191.0
502419,2015-06-17 20:11:42,6988,1,2710179.0
63660,2015-01-02 11:25:04,7134,1,
63601,2015-01-10 20:42:04,7134,1,724620.0
63578,2015-01-16 06:29:34,7134,1,467250.0
51668,2015-02-01 15:05:33,7134,1,1413359.0
51670,2015-02-16 12:27:43,7134,1,1286530.0
63259,2015-02-21 11:46:49,7134,1,429546.0
51978,2015-03-06 11:39:39,7134,1,444184.0
63556,2015-03-15 06:34:06,7134,1,759267.0
63277,2015-03-26 10:50:36,7134,1,965790.0
60325,2015-04-15 06:40:15,7134,1,1712979.0
63473,2015-05-01 08:16:50,7134,1,1388195.0
64615,2015-05-14 10:05:19,7134,1,1129709.0
63332,2015-05-14 21:36:56,7134,1,41497.0
63604,2015-06-10 20:02:39,7134,1,2327143.0
63172,2015-06-17 18:36:23,7134,1,599624.0
63115,2015-06-19 06:00:10,7134,1,127427.0
67577,2015-06-22 17:06:00,7134,1,299150.0
63612,2015-06-23 08:41:05,7134,1,56105.0
63266,2015-06-25 20:31:29,7134,1,215424.0
51676,2015-06-30 09:22:35,7134,1,391866.0
911101,2015-06-20 23:12:38,7171,1,13339866.0
655448,2015-04-28 07:53:20,7337,1,
407144,2015-01-28 11:08:13,7884,1,1180775.0
407146,2015-01-28 12:34:57,7884,1,5204.0
407148,2015-02-19 11:42:19,7884,1,241515.0
407141,2015-02-19 11:42:22,7884,1,3.0
407157,2015-04-10 18:27:27,7884,1,1156062.0
407153,2015-05-06 16:41:17,7884,1,86915.0
407155,2015-05-12 12:42:09,7884,1,504052.0
407143,2015-06-09 19:07:48,7884,1,433488.0
407159,2015-06-10 12:48:01,7884,1,63613.0
207645,2015-01-16 12:06:26,8087,1,356817.0
207674,2015-02-08 14:48:04,8087,1,412708.0
207675,2015-02-16 20:37:09,8087,1,712145.0
207720,2015-02-18 13:12:21,8087,1,146112.0
207644,2015-02-26 08:22:59,8087,1,232702.0
207659,2015-03-15 21:21:46,8087,1,1204570.0
207660,2015-03-20 15:16:53,8087,1,410107.0
207664,2015-05-20 17:10:15,8087,1,363705.0
207704,2015-06-03 13:26:07,8087,1,1196152.0
207647,2015-06-11 13:47:38,8087,1,692491.0
207719,2015-06-12 12:29:41,8087,1,81723.0
207670,2015-06-15 11:51:34,8087,1,256913.0
207673,2015-06-16 16:37:06,8087,1,103532.0
207707,2015-06-19 11:23:35,8087,1,85207.0
918797,2015-04-15 14:09:19,8248,1,3532747.0
400998,2015-04-11 11:12:10,8651,1,
402969,2015-04-16 12:57:39,8651,1,438329.0
401001,2015-06-14 09:46:46,8651,1,5086147.0
363662,2015-05-04 00:02:24,8802,1,
363634,2015-05-08 08:46:02,8802,1,377018.0
363347,2015-06-01 08:53:32,8802,1,2074050.0
718615,2015-04-25 05:59:47,8882,1,
718567,2015-04-25 06:33:27,8882,1,2020.0
925466,2015-03-18 20:02:10,8940,1,
925459,2015-04-13 03:23:31,8940,1,2186481.0
615312,2015-06-16 15:57:43,8988,1,
615315,2015-06-18 15:29:21,8988,1,171098.0
288764,2015-02-27 16:13:30,9060,1,
559439,2015-01-04 14:42:57,9090,1,
660547,2015-03-27 10:22:55,9239,1,
608492,2015-04-12 15:00:01,9239,1,1399026.0
608437,2015-04-14 13:35:53,9239,1,167752.0
660546,2015-04-18 09:40:55,9239,1,331502.0
520352,2015-04-22 09:45:28,9440,1,3968459.0
520351,2015-05-05 22:00:43,9440,1,1167315.0
649094,2015-03-27 15:44:23,9494,1,2226528.0
509584,2015-01-18 16:35:36,9557,1,
509572,2015-03-30 08:22:28,9557,1,5961337.0
509576,2015-04-07 08:20:02,9557,1,691054.0
509575,2015-06-01 21:06:38,9557,1,4797996.0
509578,2015-06-01 21:06:55,9557,1,17.0
299470,2015-03-28 09:49:52,9584,1,
180049,2015-06-15 10:01:47,10195,1,
494530,2015-04-20 02:00:55,10337,1,
704140,2015-01-18 10:20:24,10457,1,
697479,2015-02-20 09:50:11,10457,1,2849387.0
704136,2015-03-19 11:25:57,10457,1,2338546.0
697464,2015-04-01 15:18:11,10457,1,1137134.0
697463,2015-04-09 11:23:54,10457,1,677143.0
697499,2015-04-17 15:50:05,10457,1,707171.0
703694,2015-04-27 08:09:36,10457,1,836371.0
703622,2015-05-05 11:43:46,10457,1,704050.0
697442,2015-05-24 08:15:34,10457,1,1629108.0
704135,2015-05-25 11:57:42,10457,1,99728.0
704110,2015-05-25 12:13:22,10457,1,940.0
704099,2015-05-25 12:13:38,10457,1,16.0
703610,2015-05-26 16:26:34,10457,1,101576.0
703586,2015-06-05 11:21:59,10457,1,845725.0
703528,2015-06-07 16:44:44,10457,1,192165.0
713931,2015-06-08 13:36:17,10457,1,75093.0
908374,2015-06-15 01:23:29,10599,1,
624631,2015-01-15 03:38:49,10848,1,
624181,2015-05-06 21:09:00,10848,1,904565.0
150273,2015-01-04 16:06:29,10946,1,
148443,2015-01-16 17:05:57,10946,1,1040368.0
148437,2015-01-17 18:38:59,10946,1,91982.0
180524,2015-01-20 22:41:38,10946,1,273759.0
148758,2015-01-22 14:47:39,10946,1,144361.0
153017,2015-01-23 16:19:54,10946,1,91935.0
148466,2015-02-16 13:11:31,10946,1,2062297.0
148468,2015-02-22 23:59:38,10946,1,557287.0
