id,trade_time,is_risk,log_id,timelong,device,log_from,ip,city,result,timestamp,type,is_scan,is_sec,login_time,trade_log_diff,trade_log_diff_1min,trade_log_diff_2min,trade_log_diff_5min,trade_log_diff_10min,trade_log_diff_15min,trade_log_diff_30min,trade_log_diff_60min,trade_log_diff_120min,trade_log_diff_300min
6,2015-04-14 11:00:31,0,9.21244674062e+15,8000.0,68936.0,2.0,899325.0,238.0,1.0,1428980379.0,3.0,False,False,2015-04-14 10:59:39,52.0,1,1,1,1,1,1,1,1,1
180,2015-01-13 19:50:34,0,5.63815118841e+15,1000.0,309618.0,2.0,287102.0,194.0,1.0,1421149804.0,3.0,False,False,2015-01-13 19:50:04,30.0,1,1,1,1,1,1,1,1,1
228,2015-01-10 19:29:09,1,2.70015111832e+15,16185.0,1047538.0,1.0,131629.0,21.0,1.0,1420889297.0,3.0,False,False,2015-01-10 19:28:17,52.0,1,1,1,1,1,1,1,1,1
228,2015-01-10 19:29:16,1,2.70015111832e+15,16185.0,1047538.0,1.0,131629.0,21.0,1.0,1420889297.0,3.0,False,False,2015-01-10 19:28:17,59.0,1,1,1,1,1,1,1,1,1
228,2015-01-10 19:30:36,1,4.23653398514e+16,16745.0,176563.0,1.0,131629.0,21.0,1.0,1420889416.0,3.0,False,False,2015-01-10 19:30:16,20.0,1,1,1,1,1,1,1,1,1
228,2015-01-10 19:30:40,1,4.23653398514e+16,16745.0,176563.0,1.0,131629.0,21.0,1.0,1420889416.0,3.0,False,False,2015-01-10 19:30:16,24.0,1,1,1,1,1,1,1,1,1
305,2015-01-02 16:15:20,0,8.60464989322e+15,5000.0,141142.0,2.0,561716.0,456.0,1.0,1420186474.0,2.0,False,False,2015-01-02 16:14:34,46.0,1,1,1,1,1,1,1,1,1
305,2015-01-12 11:41:13,0,7.17151928963e+15,1000.0,141142.0,2.0,1213441.0,456.0,1.0,1421034029.0,2.0,False,False,2015-01-12 11:40:29,44.0,1,1,1,1,1,1,1,1,1
305,2015-02-06 18:30:41,0,4.09777476907e+15,2000.0,141142.0,2.0,1559845.0,456.0,1.0,1423218582.0,2.0,False,False,2015-02-06 18:29:42,59.0,1,1,1,1,1,1,1,1,1
305,2015-02-17 12:03:22,0,1.92175991949e+16,5000.0,141142.0,2.0,386909.0,456.0,1.0,1424145746.0,2.0,False,False,2015-02-17 12:02:26,56.0,1,1,1,1,1,1,1,1,1
305,2015-02-21 18:43:53,0,9.31616869827e+15,6000.0,141142.0,2.0,532429.0,456.0,1.0,1424515374.0,2.0,False,False,2015-02-21 18:42:54,59.0,1,1,1,1,1,1,1,1,1
305,2015-02-27 11:29:48,0,4.03664934887e+15,6000.0,141142.0,2.0,373007.0,456.0,1.0,1425007743.0,2.0,False,False,2015-02-27 11:29:03,45.0,1,1,1,1,1,1,1,1,1
305,2015-04-18 19:23:40,0,2.47824787805e+16,9000.0,141142.0,2.0,15506.0,456.0,31.0,1429356174.0,2.0,False,False,2015-04-18 19:22:54,46.0,1,1,1,1,1,1,1,1,1
305,2015-04-18 19:23:40,0,8.77967982993e+15,5000.0,141142.0,2.0,15506.0,456.0,1.0,1429356186.0,2.0,False,False,2015-04-18 19:23:06,34.0,1,1,1,1,1,1,1,1,1
305,2015-06-23 09:32:39,0,8.53735453789e+15,6000.0,141142.0,2.0,240719.0,456.0,1.0,1435023101.0,2.0,False,False,2015-06-23 09:31:41,58.0,1,1,1,1,1,1,1,1,1
440,2015-03-29 16:06:14,0,5.84829120077e+15,5000.0,572806.0,2.0,534500.0,78.0,1.0,1427616317.0,3.0,False,False,2015-03-29 16:05:17,57.0,1,1,1,1,1,1,1,1,1
440,2015-03-29 16:35:02,0,4.00628411801e+15,5000.0,234510.0,2.0,1300265.0,268.0,1.0,1427618047.0,3.0,False,False,2015-03-29 16:34:07,55.0,1,1,1,1,1,1,1,1,1
475,2015-03-16 18:59:47,0,7.02161133138e+15,17755.0,102512.0,1.0,118083.0,264.0,1.0,1426503529.0,3.0,False,False,2015-03-16 18:58:49,58.0,1,1,1,1,1,1,1,1,1
475,2015-03-17 18:22:59,0,9.34779055049e+15,8000.0,687580.0,2.0,282945.0,264.0,1.0,1426587728.0,3.0,False,False,2015-03-17 18:22:08,51.0,1,1,1,1,1,1,1,1,1
629,2015-06-16 08:26:16,0,7.29402889555e+15,8000.0,563647.0,2.0,1107315.0,211.0,1.0,1434414340.0,3.0,False,False,2015-06-16 08:25:40,36.0,1,1,1,1,1,1,1,1,1
689,2015-05-02 14:50:03,0,6.66946929954e+15,1659.0,400310.0,1.0,753906.0,44.0,1.0,1430549370.0,3.0,False,False,2015-05-02 14:49:30,33.0,1,1,1,1,1,1,1,1,1
714,2015-04-14 22:20:10,1,7.17074417037e+15,711271.0,18573.0,1.0,273091.0,58.0,1.0,1429021197.0,3.0,False,False,2015-04-14 22:19:57,13.0,1,1,1,1,1,1,1,1,1
768,2015-03-23 09:12:39,0,7.05228494566e+14,13138.0,920409.0,1.0,887400.0,259.0,1.0,1427073127.0,3.0,False,False,2015-03-23 09:12:07,32.0,1,1,1,1,1,1,1,1,1
861,2015-02-08 22:19:35,0,8.44838817178e+15,1000.0,879313.0,2.0,234768.0,57.0,1.0,1423405142.0,1.0,False,False,2015-02-08 22:19:02,33.0,1,1,1,1,1,1,1,1,1
861,2015-03-14 19:12:34,0,6.16454083514e+14,13078.0,317966.0,1.0,1222245.0,62.0,1.0,1426331520.0,1.0,False,False,2015-03-14 19:12:00,34.0,1,1,1,1,1,1,1,1,1
861,2015-03-25 10:52:29,0,3.51808570875e+14,7000.0,442645.0,2.0,769514.0,57.0,1.0,1427251890.0,1.0,False,False,2015-03-25 10:51:30,59.0,1,1,1,1,1,1,1,1,1
