Class,SaleDate,saleCount
1001,2015-05-01,5
1001,2015-05-02,6
1001,2015-05-03,6
1001,2015-05-04,7
1001,2015-05-05,7
1001,2015-05-06,10
1001,2015-05-07,6
1002,2015-05-01,0
1002,2015-05-02,0
1002,2015-05-03,0
1002,2015-05-04,0
1002,2015-05-05,0
1002,2015-05-06,0
1002,2015-05-07,0
1004,2015-05-01,1
1004,2015-05-02,1
1004,2015-05-03,1
1004,2015-05-04,1
1004,2015-05-05,1
1004,2015-05-06,1
1004,2015-05-07,1
1005,2015-05-01,0
1005,2015-05-02,0
1005,2015-05-03,0
1005,2015-05-04,0
1005,2015-05-05,0
1005,2015-05-06,0
1005,2015-05-07,0
1099,2015-05-01,0
1099,2015-05-02,0
1099,2015-05-03,0
1099,2015-05-04,0
1099,2015-05-05,0
1099,2015-05-06,0
1099,2015-05-07,0
1101,2015-05-01,0
1101,2015-05-02,0
1101,2015-05-03,0
1101,2015-05-04,0
1101,2015-05-05,0
1101,2015-05-06,0
1101,2015-05-07,0
1102,2015-05-01,0
1102,2015-05-02,0
1102,2015-05-03,0
1102,2015-05-04,0
1102,2015-05-05,0
1102,2015-05-06,0
1102,2015-05-07,0
1103,2015-05-01,0
1103,2015-05-02,0
1103,2015-05-03,0
1103,2015-05-04,0
1103,2015-05-05,0
1103,2015-05-06,0
1103,2015-05-07,0
1201,2015-05-01,104
1201,2015-05-02,81
1201,2015-05-03,104
1201,2015-05-04,74
1201,2015-05-05,70
1201,2015-05-06,91
1201,2015-05-07,65
1202,2015-05-01,7
1202,2015-05-02,8
1202,2015-05-03,7
1202,2015-05-04,6
1202,2015-05-05,7
1202,2015-05-06,8
1202,2015-05-07,6
1203,2015-05-01,24
1203,2015-05-02,24
1203,2015-05-03,25
1203,2015-05-04,21
1203,2015-05-05,24
1203,2015-05-06,31
1203,2015-05-07,16
1205,2015-05-01,2
1205,2015-05-02,2
1205,2015-05-03,2
1205,2015-05-04,0
1205,2015-05-05,1
1205,2015-05-06,1
1205,2015-05-07,0
1301,2015-05-01,2
1301,2015-05-02,1
1301,2015-05-03,2
1301,2015-05-04,2
1301,2015-05-05,1
1301,2015-05-06,1
1301,2015-05-07,1
1302,2015-05-01,0
1302,2015-05-02,0
1302,2015-05-03,0
1302,2015-05-04,0
1302,2015-05-05,0
1302,2015-05-06,0
1302,2015-05-07,0
1306,2015-05-01,0
1306,2015-05-02,0
1306,2015-05-03,0
1306,2015-05-04,0
1306,2015-05-05,0
1306,2015-05-06,0
1306,2015-05-07,0
1308,2015-05-01,2
1308,2015-05-02,3
1308,2015-05-03,2
1308,2015-05-04,3
1308,2015-05-05,3
1308,2015-05-06,3
1308,2015-05-07,3
1501,2015-05-01,2
1501,2015-05-02,2
1501,2015-05-03,2
1501,2015-05-04,2
1501,2015-05-05,2
1501,2015-05-06,2
1501,2015-05-07,2
1502,2015-05-01,0
1502,2015-05-02,0
1502,2015-05-03,0
1502,2015-05-04,0
1502,2015-05-05,0
1502,2015-05-06,0
1502,2015-05-07,0
1503,2015-05-01,0
1503,2015-05-02,0
1503,2015-05-03,0
1503,2015-05-04,0
1503,2015-05-05,0
1503,2015-05-06,0
1503,2015-05-07,0
1504,2015-05-01,0
1504,2015-05-02,0
1504,2015-05-03,0
1504,2015-05-04,0
1504,2015-05-05,0
1504,2015-05-06,0
1504,2015-05-07,0
1505,2015-05-01,5
1505,2015-05-02,5
1505,2015-05-03,5
1505,2015-05-04,5
1505,2015-05-05,4
1505,2015-05-06,7
1505,2015-05-07,3
1507,2015-05-01,1
1507,2015-05-02,0
1507,2015-05-03,1
1507,2015-05-04,1
1507,2015-05-05,1
1507,2015-05-06,1
1507,2015-05-07,1
1508,2015-05-01,0
1508,2015-05-02,0
1508,2015-05-03,0
1508,2015-05-04,0
1508,2015-05-05,0
1508,2015-05-06,0
1508,2015-05-07,0
1510,2015-05-01,0
1510,2015-05-02,1
1510,2015-05-03,1
1510,2015-05-04,1
1510,2015-05-05,1
1510,2015-05-06,1
1510,2015-05-07,1
1511,2015-05-01,0
1511,2015-05-02,0
1511,2015-05-03,0
1511,2015-05-04,0
1511,2015-05-05,0
1511,2015-05-06,0
1511,2015-05-07,0
1512,2015-05-01,0
1512,2015-05-02,0
1512,2015-05-03,0
1512,2015-05-04,0
1512,2015-05-05,0
1512,2015-05-06,0
1512,2015-05-07,0
1513,2015-05-01,0
1513,2015-05-02,0
1513,2015-05-03,0
1513,2015-05-04,0
1513,2015-05-05,0
1513,2015-05-06,0
1513,2015-05-07,0
1515,2015-05-01,0
1515,2015-05-02,0
1515,2015-05-03,0
