编码,日期,销量
1501,,2
1501,,1
1501,,1
1501,,2
1501,,2
1501,,3
1501,,2
1501,,2
1501,,1
1501,,2
1501,,2
1501,,2
1501,,3
1501,,2
1501,,2
1501,,1
1501,,2
1501,,2
1501,,2
1501,,3
1501,,2
1501,,2
1501,,1
1501,,2
1501,,2
1501,,2
1501,,3
1501,,2
1501,,2
1501,,1
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1502,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1503,,0
1505,,13
1505,,9
1505,,7
1505,,10
1505,,12
1505,,12
1505,,10
1505,,12
1505,,12
1505,,11
1505,,12
1505,,12
1505,,14
1505,,10
1505,,12
1505,,12
1505,,11
1505,,11
1505,,12
1505,,14
1505,,10
1505,,12
1505,,12
1505,,11
1505,,12
1505,,12
1505,,14
1505,,10
1505,,12
1505,,12
1508,,1
1508,,0
1508,,0
1508,,1
1508,,1
1508,,1
1508,,0
1508,,1
1508,,0
1508,,0
1508,,0
1508,,0
1508,,1
1508,,0
1508,,1
1508,,0
1508,,0
1508,,0
1508,,0
1508,,1
1508,,0
1508,,1
1508,,0
1508,,0
1508,,0
1508,,0
1508,,1
1508,,0
1508,,1
1508,,0
1510,,0
1510,,1
1510,,1
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1510,,0
1512,,1
1512,,0
1512,,0
1512,,0
1512,,0
1512,,1
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,1
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,1
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,0
1512,,1
1512,,0
1512,,0
1512,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,1
1513,,0
1513,,1
1513,,0
1513,,0
1513,,0
1513,,0
1513,,1
1513,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,1
1513,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,0
1513,,1
1513,,0
1513,,0
1513,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1515,,0
1517,,2
1517,,2
1517,,2
1517,,4
1517,,3
1517,,3
1517,,2
1517,,2
1517,,2
1517,,2
1517,,3
1517,,2
1517,,4
1517,,2
1517,,2
1517,,2
1517,,2
1517,,3
1517,,2
1517,,4
1517,,2
1517,,2
1517,,2
1517,,2
1517,,3
1517,,2
1517,,4
1517,,2
1517,,2
1517,,2
1518,,8
1518,,7
1518,,5
1518,,7
1518,,7
1518,,10
1518,,5
1518,,8
1518,,9
1518,,9
1518,,9
1518,,9
1518,,13
1518,,5
1518,,8
1518,,9
1518,,9
1518,,9
1518,,9
1518,,13
1518,,5
1518,,8
1518,,9
1518,,9
1518,,9
1518,,9
1518,,13
1518,,5
1518,,8
1518,,9
1519,,3
1519,,0
1519,,1
1519,,0
1519,,1
1519,,1
1519,,1
1519,,0
1519,,1
1519,,1
1519,,1
1519,,1
1519,,2
1519,,1
1519,,0
1519,,1
1519,,1
1519,,1
1519,,1
1519,,2
1519,,1
1519,,0
1519,,1
1519,,1
1519,,1
1519,,1
1519,,2
1519,,1
