SaleDate,saleCount
2015-01-01,44
2015-01-02,72
2015-01-03,76
2015-01-04,90
2015-01-05,41
2015-01-06,75
2015-01-07,88
2015-01-08,65
2015-01-09,91
2015-01-10,104
2015-01-11,79
2015-01-12,41
2015-01-13,68
2015-01-14,68
2015-01-15,93
2015-01-16,93
2015-01-17,64
2015-01-18,71
2015-01-19,84
2015-01-20,62
2015-01-21,131
2015-01-22,64
2015-01-23,86
2015-01-24,53
2015-01-25,82
2015-01-26,65
2015-01-27,66
2015-01-28,153
2015-01-29,67
2015-01-30,60
2015-01-31,111
2015-02-01,73
2015-02-02,54
2015-02-03,101
2015-02-04,4
2015-02-05,49
2015-02-06,69
2015-02-07,68
2015-02-08,68
2015-02-09,120
2015-02-10,51
2015-02-11,121
2015-02-12,108
2015-02-13,133
2015-02-14,0
2015-02-15,150
2015-02-16,239
2015-02-17,226
2015-02-18,322
2015-02-19,25
2015-02-20,24
2015-02-21,42
2015-02-22,56
2015-02-23,56
2015-02-24,63
2015-02-25,52
2015-02-26,46
2015-02-27,49
2015-02-28,61
2015-03-01,61
2015-03-02,43
2015-03-03,44
2015-03-04,97
2015-03-05,31
2015-03-06,52
2015-03-07,37
2015-03-08,49
2015-03-09,45
2015-03-10,49
2015-03-11,73
2015-03-12,71
2015-03-13,79
2015-03-14,76
2015-03-15,62
2015-03-16,62
2015-03-17,33
2015-03-18,107
2015-03-19,43
2015-03-20,42
2015-03-21,84
2015-03-22,87
2015-03-23,44
2015-03-24,52
2015-03-25,63
2015-03-26,74
2015-03-27,69
2015-03-28,83
2015-03-29,57
2015-03-30,80
2015-03-31,0
2015-04-01,76
2015-04-02,42
2015-04-03,110
2015-04-04,140
2015-04-05,81
2015-04-06,41
2015-04-07,101
2015-04-08,86
2015-04-09,0
2015-04-10,69
2015-04-11,76
2015-04-12,85
2015-04-13,53
2015-04-14,111
2015-04-15,111
2015-04-16,0
2015-04-17,67
2015-04-18,115
2015-04-19,60
2015-04-20,36
2015-04-21,49
2015-04-22,118
2015-04-23,78
2015-04-24,48
2015-04-25,73
2015-04-26,58
2015-04-27,42
2015-04-28,32
2015-04-29,104
2015-04-30,101
