SaleDate,saleCount
2015-01-01,103
2015-01-02,99
2015-01-03,80
2015-01-04,107
2015-01-05,161
2015-01-06,146
2015-01-07,144
2015-01-08,129
2015-01-09,104
2015-01-10,97
2015-01-11,125
2015-01-12,139
2015-01-13,126
2015-01-14,139
2015-01-15,117
2015-01-16,142
2015-01-17,118
2015-01-18,153
2015-01-19,207
2015-01-20,183
2015-01-21,212
2015-01-22,148
2015-01-23,128
2015-01-24,119
2015-01-25,140
2015-01-26,151
2015-01-27,130
2015-01-28,222
2015-01-29,102
2015-01-30,120
2015-01-31,126
2015-02-01,113
2015-02-02,150
2015-02-03,118
2015-02-04,3
2015-02-05,106
2015-02-06,116
2015-02-07,117
2015-02-08,107
2015-02-09,161
2015-02-10,113
2015-02-11,118
2015-02-12,135
2015-02-13,99
2015-02-14,0
2015-02-15,129
2015-02-16,170
2015-02-17,146
2015-02-18,172
2015-02-19,19
2015-02-20,29
2015-02-21,57
2015-02-22,68
2015-02-23,51
2015-02-24,115
2015-02-25,105
2015-02-26,68
2015-02-27,91
2015-02-28,85
2015-03-01,111
2015-03-02,124
2015-03-03,89
2015-03-04,128
2015-03-05,88
2015-03-06,92
2015-03-07,58
2015-03-08,108
2015-03-09,137
2015-03-10,107
2015-03-11,166
2015-03-12,125
2015-03-13,124
2015-03-14,197
2015-03-15,111
2015-03-16,131
2015-03-17,128
2015-03-18,222
2015-03-19,117
2015-03-20,73
2015-03-21,87
2015-03-22,95
2015-03-23,166
2015-03-24,101
2015-03-25,176
2015-03-26,94
2015-03-27,77
2015-03-28,105
2015-03-29,61
2015-03-30,142
2015-03-31,0
2015-04-01,202
2015-04-02,96
2015-04-03,118
2015-04-04,112
2015-04-05,90
2015-04-06,75
2015-04-07,132
2015-04-08,169
2015-04-09,0
2015-04-10,94
2015-04-11,129
2015-04-12,144
2015-04-13,133
2015-04-14,147
2015-04-15,176
2015-04-16,0
2015-04-17,130
2015-04-18,138
2015-04-19,96
2015-04-20,144
2015-04-21,121
2015-04-22,207
2015-04-23,123
2015-04-24,137
2015-04-25,104
2015-04-26,157
2015-04-27,149
2015-04-28,98
2015-04-29,177
2015-04-30,76
