,Class,SaleDate,saleCount,dayOfWeek,parClass
0,1001,2015-01-01,3,3,10
1,1001,2015-01-02,6,4,10
2,1001,2015-01-03,7,5,10
3,1001,2015-01-04,5,6,10
4,1001,2015-01-05,9,0,10
5,1001,2015-01-06,5,1,10
6,1001,2015-01-07,28,2,10
7,1001,2015-01-08,7,3,10
8,1001,2015-01-09,4,4,10
9,1001,2015-01-10,4,5,10
10,1001,2015-01-11,3,6,10
11,1001,2015-01-12,12,0,10
12,1001,2015-01-13,5,1,10
13,1001,2015-01-14,16,2,10
14,1001,2015-01-15,9,3,10
15,1001,2015-01-16,9,4,10
16,1001,2015-01-17,3,5,10
17,1001,2015-01-18,5,6,10
18,1001,2015-01-19,4,0,10
19,1001,2015-01-20,9,1,10
20,1001,2015-01-21,25,2,10
21,1001,2015-01-22,6,3,10
22,1001,2015-01-23,7,4,10
23,1001,2015-01-24,2,5,10
24,1001,2015-01-25,5,6,10
25,1001,2015-01-26,13,0,10
26,1001,2015-01-27,12,1,10
27,1001,2015-01-28,35,2,10
28,1001,2015-01-29,9,3,10
29,1001,2015-01-30,4,4,10
30,1001,2015-01-31,6,5,10
31,1001,2015-02-01,5,6,10
32,1001,2015-02-02,5,0,10
33,1001,2015-02-03,9,1,10
34,1001,2015-02-05,10,3,10
35,1001,2015-02-06,4,4,10
36,1001,2015-02-07,1,5,10
37,1001,2015-02-08,10,6,10
38,1001,2015-02-09,8,0,10
39,1001,2015-02-10,14,1,10
40,1001,2015-02-11,25,2,10
41,1001,2015-02-12,6,3,10
42,1001,2015-02-13,6,4,10
43,1001,2015-02-15,15,6,10
44,1001,2015-02-16,9,0,10
45,1001,2015-02-17,16,1,10
46,1001,2015-02-18,9,2,10
47,1001,2015-02-19,1,3,10
48,1001,2015-02-21,2,5,10
49,1001,2015-02-22,4,6,10
50,1001,2015-02-23,2,0,10
51,1001,2015-02-24,1,1,10
52,1001,2015-02-26,2,3,10
53,1001,2015-02-27,3,4,10
54,1001,2015-02-28,4,5,10
55,1001,2015-03-01,8,6,10
56,1001,2015-03-02,9,0,10
57,1001,2015-03-03,8,1,10
58,1001,2015-03-04,12,2,10
59,1001,2015-03-05,9,3,10
60,1001,2015-03-06,3,4,10
61,1001,2015-03-07,5,5,10
62,1001,2015-03-08,5,6,10
63,1001,2015-03-09,13,0,10
64,1001,2015-03-10,5,1,10
65,1001,2015-03-11,10,2,10
66,1001,2015-03-12,5,3,10
67,1001,2015-03-13,6,4,10
68,1001,2015-03-14,10,5,10
69,1001,2015-03-15,9,6,10
70,1001,2015-03-16,6,0,10
71,1001,2015-03-17,11,1,10
72,1001,2015-03-18,20,2,10
73,1001,2015-03-19,5,3,10
74,1001,2015-03-20,3,4,10
75,1001,2015-03-21,1,5,10
76,1001,2015-03-22,4,6,10
77,1001,2015-03-23,2,0,10
78,1001,2015-03-24,6,1,10
79,1001,2015-03-25,22,2,10
80,1001,2015-03-26,7,3,10
81,1001,2015-03-27,3,4,10
82,1001,2015-03-28,3,5,10
83,1001,2015-03-29,5,6,10
84,1001,2015-03-30,6,0,10
85,1001,2015-04-01,17,2,10
86,1001,2015-04-02,10,3,10
87,1001,2015-04-03,5,4,10
88,1001,2015-04-04,9,5,10
89,1001,2015-04-05,7,6,10
90,1001,2015-04-06,7,0,10
91,1001,2015-04-07,10,1,10
92,1001,2015-04-08,13,2,10
93,1001,2015-04-10,8,4,10
94,1001,2015-04-11,9,5,10
95,1001,2015-04-12,16,6,10
96,1001,2015-04-13,6,0,10
97,1001,2015-04-14,4,1,10
98,1001,2015-04-15,20,2,10
99,1001,2015-04-17,8,4,10
100,1001,2015-04-18,4,5,10
101,1001,2015-04-19,6,6,10
102,1001,2015-04-20,6,0,10
103,1001,2015-04-21,7,1,10
104,1001,2015-04-22,20,2,10
105,1001,2015-04-23,6,3,10
106,1001,2015-04-24,13,4,10
107,1001,2015-04-25,4,5,10
108,1001,2015-04-26,8,6,10
109,1001,2015-04-27,3,0,10
110,1001,2015-04-28,10,1,10
111,1001,2015-04-29,14,2,10
112,1001,2015-04-30,11,3,10
113,1002,2015-01-05,1,0,10
114,1002,2015-01-07,1,2,10
115,1002,2015-01-08,1,3,10
116,1002,2015-01-23,1,4,10
117,1002,2015-01-25,1,6,10
118,1002,2015-01-31,1,5,10
119,1002,2015-02-01,2,6,10
120,1002,2015-02-06,1,4,10
121,1002,2015-02-10,2,1,10
122,1002,2015-02-11,2,2,10
123,1002,2015-02-13,2,4,10
124,1002,2015-02-15,1,6,10
125,1002,2015-02-16,2,0,10
126,1002,2015-02-22,1,6,10
127,1002,2015-03-11,1,2,10
128,1002,2015-03-25,1,2,10
129,1002,2015-03-30,1,0,10
130,1002,2015-04-01,2,2,10
131,1002,2015-04-05,2,6,10
132,1002,2015-04-12,1,6,10
133,1002,2015-04-21,1,1,10
134,1002,2015-04-22,2,2,10
135,1002,2015-04-24,1,4,10
136,1002,2015-04-25,1,5,10
137,1002,2015-04-26,1,6,10
138,1004,2015-01-01,1,3,10
139,1004,2015-01-02,3,4,10
140,1004,2015-01-03,3,5,10
141,1004,2015-01-04,2,6,10
142,1004,2015-01-05,1,0,10
143,1004,2015-01-06,1,1,10
144,1004,2015-01-07,6,2,10
145,1004,2015-01-08,1,3,10
146,1004,2015-01-09,1,4,10
147,1004,2015-01-11,3,6,10
148,1004,2015-01-12,1,0,10
149,1004,2015-01-14,3,2,10
150,1004,2015-01-15,3,3,10
151,1004,2015-01-16,1,4,10
152,1004,2015-01-17,2,5,10
153,1004,2015-01-19,1,0,10
154,1004,2015-01-20,1,1,10
155,1004,2015-01-21,7,2,10
156,1004,2015-01-22,6,3,10
157,1004,2015-01-25,3,6,10
158,1004,2015-01-27,2,1,10
159,1004,2015-01-28,5,2,10
160,1004,2015-01-29,2,3,10
161,1004,2015-01-30,1,4,10
162,1004,2015-01-31,2,5,10
163,1004,2015-02-02,3,0,10
164,1004,2015-02-03,2,1,10
165,1004,2015-02-04,1,2,10
166,1004,2015-02-05,1,3,10
167,1004,2015-02-08,1,6,10
168,1004,2015-02-10,3,1,10
169,1004,2015-02-11,9,2,10
170,1004,2015-02-12,6,3,10
171,1004,2015-02-13,4,4,10
172,1004,2015-02-15,3,6,10
173,1004,2015-02-16,3,0,10
174,1004,2015-02-17,2,1,10
175,1004,2015-02-18,1,2,10
176,1004,2015-02-22,1,6,10
177,1004,2015-02-23,2,0,10
178,1004,2015-02-27,1,4,10
179,1004,2015-03-02,5,0,10
180,1004,2015-03-03,2,1,10
181,1004,2015-03-04,4,2,10
182,1004,2015-03-05,1,3,10
183,1004,2015-03-06,1,4,10
184,1004,2015-03-07,1,5,10
185,1004,2015-03-08,1,6,10
186,1004,2015-03-09,2,0,10
187,1004,2015-03-10,1,1,10
188,1004,2015-03-11,5,2,10
189,1004,2015-03-12,1,3,10
190,1004,2015-03-13,2,4,10
191,1004,2015-03-14,3,5,10
192,1004,2015-03-15,3,6,10
193,1004,2015-03-16,1,0,10
194,1004,2015-03-18,1,2,10
195,1004,2015-03-21,1,5,10
196,1004,2015-03-22,4,6,10
197,1004,2015-03-24,1,1,10
198,1004,2015-03-26,3,3,10
199,1004,2015-03-27,1,4,10
200,1004,2015-03-28,1,5,10
201,1004,2015-03-29,1,6,10
202,1004,2015-03-30,2,0,10
203,1004,2015-04-01,3,2,10
204,1004,2015-04-02,2,3,10
205,1004,2015-04-04,1,5,10
206,1004,2015-04-06,1,0,10
207,1004,2015-04-07,7,1,10
208,1004,2015-04-08,4,2,10
209,1004,2015-04-10,1,4,10
210,1004,2015-04-12,3,6,10
211,1004,2015-04-14,4,1,10
212,1004,2015-04-15,5,2,10
213,1004,2015-04-17,2,4,10
214,1004,2015-04-18,2,5,10
215,1004,2015-04-19,1,6,10
216,1004,2015-04-20,7,0,10
217,1004,2015-04-21,5,1,10
218,1004,2015-04-22,6,2,10
219,1004,2015-04-23,1,3,10
220,1004,2015-04-24,1,4,10
221,1004,2015-04-25,3,5,10
222,1004,2015-04-26,1,6,10
223,1004,2015-04-27,2,0,10
224,1004,2015-04-29,4,2,10
225,1004,2015-04-30,4,3,10
226,1005,2015-01-05,2,0,10
227,1005,2015-01-06,1,1,10
228,1005,2015-01-07,3,2,10
229,1005,2015-01-11,2,6,10
230,1005,2015-01-18,1,6,10
231,1005,2015-01-22,1,3,10
232,1005,2015-01-23,2,4,10
233,1005,2015-01-28,4,2,10
234,1005,2015-01-30,1,4,10
235,1005,2015-02-01,1,6,10
236,1005,2015-03-01,1,6,10
237,1005,2015-03-13,1,4,10
238,1005,2015-03-18,2,2,10
239,1005,2015-03-25,1,2,10
240,1005,2015-04-03,1,4,10
241,1005,2015-04-07,3,1,10
242,1005,2015-04-14,1,1,10
243,1005,2015-04-20,1,0,10
244,1005,2015-04-22,1,2,10
245,1006,2015-01-10,1,5,10
246,1006,2015-01-11,1,6,10
247,1006,2015-01-19,1,0,10
248,1006,2015-01-20,1,1,10
249,1006,2015-01-29,1,3,10
250,1006,2015-02-08,1,6,10
251,1006,2015-02-15,1,6,10
252,1006,2015-02-25,1,2,10
253,1006,2015-03-04,1,2,10
254,1006,2015-03-14,1,5,10
255,1006,2015-04-01,1,2,10
256,1006,2015-04-29,1,2,10
257,1007,2015-01-07,1,2,10
258,1007,2015-01-13,1,1,10
259,1007,2015-01-21,2,2,10
260,1099,2015-01-16,1,4,10
261,1099,2015-01-21,1,2,10
262,1099,2015-01-22,1,3,10
263,1099,2015-01-26,2,0,10
264,1099,2015-02-21,1,5,10
265,1099,2015-02-28,1,5,10
266,1099,2015-03-12,1,3,10
267,1099,2015-03-30,1,0,10
268,1099,2015-04-13,1,0,10
269,1101,2015-01-01,1,3,11
270,1101,2015-01-07,2,2,11
271,1101,2015-01-09,1,4,11
272,1101,2015-01-10,1,5,11
273,1101,2015-01-11,1,6,11
274,1101,2015-01-13,1,1,11
275,1101,2015-01-14,1,2,11
276,1101,2015-01-18,1,6,11
277,1101,2015-01-19,1,0,11
278,1101,2015-01-20,1,1,11
279,1101,2015-01-22,2,3,11
280,1101,2015-01-24,1,5,11
281,1101,2015-01-25,1,6,11
282,1101,2015-01-28,2,2,11
283,1101,2015-01-29,1,3,11
284,1101,2015-01-30,1,4,11
285,1101,2015-02-01,2,6,11
286,1101,2015-02-03,1,1,11
287,1101,2015-02-05,1,3,11
288,1101,2015-02-09,2,0,11
289,1101,2015-02-11,3,2,11
290,1101,2015-02-12,3,3,11
291,1101,2015-02-21,1,5,11
292,1101,2015-03-01,1,6,11
293,1101,2015-03-02,1,0,11
294,1101,2015-03-07,1,5,11
295,1101,2015-03-09,1,0,11
296,1101,2015-03-11,1,2,11
297,1101,2015-03-14,2,5,11
298,1101,2015-03-16,1,0,11
299,1101,2015-03-17,1,1,11
300,1101,2015-03-18,2,2,11
301,1101,2015-03-22,1,6,11
302,1101,2015-03-23,1,0,11
303,1101,2015-03-24,3,1,11
304,1101,2015-03-25,1,2,11
305,1101,2015-03-28,1,5,11
306,1101,2015-03-30,1,0,11
307,1101,2015-04-01,1,2,11
308,1101,2015-04-03,1,4,11
309,1101,2015-04-04,4,5,11
310,1101,2015-04-05,1,6,11
311,1101,2015-04-06,2,0,11
312,1101,2015-04-10,1,4,11
313,1101,2015-04-11,1,5,11
314,1101,2015-04-12,1,6,11
315,1101,2015-04-13,2,0,11
316,1101,2015-04-14,1,1,11
317,1101,2015-04-15,4,2,11
318,1101,2015-04-18,2,5,11
319,1101,2015-04-19,1,6,11
320,1101,2015-04-22,6,2,11
321,1101,2015-04-23,1,3,11
322,1101,2015-04-25,1,5,11
323,1101,2015-04-28,2,1,11
324,1101,2015-04-29,4,2,11
325,1102,2015-01-07,1,2,11
326,1102,2015-01-08,1,3,11
327,1102,2015-01-23,1,4,11
328,1102,2015-01-28,2,2,11
329,1102,2015-02-03,2,1,11
330,1102,2015-02-05,2,3,11
331,1102,2015-02-06,1,4,11
332,1102,2015-02-08,1,6,11
333,1102,2015-02-10,1,1,11
334,1102,2015-02-11,3,2,11
335,1102,2015-02-13,1,4,11
336,1102,2015-02-17,1,1,11
337,1102,2015-03-01,1,6,11
338,1102,2015-03-02,2,0,11
339,1102,2015-03-04,4,2,11
340,1102,2015-03-10,1,1,11
341,1102,2015-03-11,2,2,11
342,1102,2015-03-14,1,5,11
343,1102,2015-03-18,2,2,11
344,1102,2015-03-19,2,3,11
345,1102,2015-03-21,3,5,11
346,1102,2015-03-24,3,1,11
347,1102,2015-03-25,1,2,11
348,1102,2015-03-26,2,3,11
349,1102,2015-03-28,1,5,11
350,1102,2015-04-01,3,2,11
351,1102,2015-04-03,2,4,11
352,1102,2015-04-04,1,5,11
353,1102,2015-04-07,1,1,11
354,1102,2015-04-08,2,2,11
355,1102,2015-04-13,1,0,11
356,1102,2015-04-15,1,2,11
357,1102,2015-04-20,1,0,11
358,1102,2015-04-21,1,1,11
359,1102,2015-04-22,3,2,11
360,1102,2015-04-23,1,3,11
361,1102,2015-04-25,2,5,11
362,1102,2015-04-28,1,1,11
363,1102,2015-04-29,4,2,11
364,1103,2015-01-01,1,3,11
365,1103,2015-01-02,1,4,11
366,1103,2015-01-06,1,1,11
367,1103,2015-01-14,1,2,11
368,1103,2015-01-20,1,1,11
369,1103,2015-01-27,2,1,11
370,1103,2015-02-01,1,6,11
371,1103,2015-02-02,4,0,11
372,1103,2015-02-03,3,1,11
373,1103,2015-02-10,1,1,11
374,1103,2015-02-15,1,6,11
375,1103,2015-02-17,1,1,11
376,1103,2015-03-04,1,2,11
377,1103,2015-03-14,1,5,11
378,1103,2015-03-17,1,1,11
379,1103,2015-04-01,7,2,11
380,1103,2015-04-12,1,6,11
381,1103,2015-04-13,1,0,11
382,1103,2015-04-15,1,2,11
383,1103,2015-04-22,1,2,11
384,1103,2015-04-28,1,1,11
385,1104,2015-02-13,1,4,11
386,1104,2015-02-19,2,3,11
387,1104,2015-02-22,1,6,11
388,1104,2015-02-24,1,1,11
389,1104,2015-03-09,1,0,11
390,1104,2015-04-03,1,4,11
391,1104,2015-04-10,1,4,11
392,1104,2015-04-11,1,5,11
393,1201,2015-01-01,64,3,12
394,1201,2015-01-02,66,4,12
395,1201,2015-01-03,52,5,12
396,1201,2015-01-04,71,6,12
397,1201,2015-01-05,115,0,12
398,1201,2015-01-06,96,1,12
399,1201,2015-01-07,105,2,12
400,1201,2015-01-08,87,3,12
401,1201,2015-01-09,63,4,12
402,1201,2015-01-10,63,5,12
403,1201,2015-01-11,94,6,12
404,1201,2015-01-12,110,0,12
405,1201,2015-01-13,85,1,12
406,1201,2015-01-14,85,2,12
407,1201,2015-01-15,88,3,12
408,1201,2015-01-16,103,4,12
409,1201,2015-01-17,82,5,12
410,1201,2015-01-18,111,6,12
411,1201,2015-01-19,139,0,12
412,1201,2015-01-20,128,1,12
413,1201,2015-01-21,142,2,12
414,1201,2015-01-22,106,3,12
415,1201,2015-01-23,82,4,12
