Class,parClass,SaleDate,saleCount,Coupon,holidayCluster,disHoliday,disHoliday_detail,month,dayOfWeek,dayOfYear,weekOfYear,cumType,parCumType,hotIndex,parHotIndex,wkDaySaleCount_median,wkDaySaleCount_mean,wkDaySaleCount_max,wkDaySaleCount_min,holDaySaleCount_median,holDaySaleCount_mean,holDaySaleCount_max,holDaySaleCount_min,wkHolRatio,classWeekdayRatio,parClassWeekdayRatio
1001,10,2015/1/1,3,0,3,1,1,1,3,1,1,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/1/2,6,0,3,1,2,1,4,2,1,129.72,115.71,0.01754,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/1/3,7,0,3,1,3,1,5,3,1,129.72,115.71,0.02432,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/1/4,5,0,1,0.5,8,1,6,4,1,129.72,115.71,0.00141,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/1/5,9,0,1,0.3,9,1,0,5,2,129.72,115.71,0.02432,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/1/6,5,0,1,0.3,10,1,1,6,2,129.72,115.71,0.01475,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/1/7,28,0,1,0,0,1,2,7,2,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/1/8,7,0,1,0,0,1,3,8,2,129.72,115.71,0.00745,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/1/9,4,0,1,0,0,1,4,9,2,129.72,115.71,0.01009,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/1/10,4,0,2,0,0,1,5,10,2,129.72,115.71,0.03484,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/1/11,3,0,2,0,0,1,6,11,2,129.72,115.71,0.03739,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/1/12,12,0,1,0,0,1,0,12,3,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/1/13,5,0,1,0,0,1,1,13,3,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/1/14,16,0,1,0,0,1,2,14,3,129.72,115.71,0.02478,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/1/15,9,0,1,0,0,1,3,15,3,129.72,115.71,0.00626,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/1/16,9,0,1,0,0,1,4,16,3,129.72,115.71,0.02331,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/1/17,3,0,2,0,0,1,5,17,3,129.72,115.71,0.00478,0.028,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/1/18,5,0,2,0,0,1,6,18,3,129.72,115.71,0.00132,0.01482,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/1/19,4,0,1,0,0,1,0,19,4,129.72,115.71,0.00012,0.00693,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/1/20,9,0,1,0,0,1,1,20,4,129.72,115.71,0.03739,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/1/21,25,0,1,0,0,1,2,21,4,129.72,115.71,0.0173,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/1/22,6,0,1,0,0,1,3,22,4,129.72,115.71,0.01113,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/1/23,7,0,1,0,0,1,4,23,4,129.72,115.71,0.02313,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/1/24,2,0,2,0,0,1,5,24,4,129.72,115.71,0.02331,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
