SaleDate,holidayCluster,disHoliday,disHoliday_detail,disWorkday_detail
20150101,3,1,1,3
20150102,3,1,2,3
20150103,3,1,3,3
20150104,1,0.5,8,1
20150105,1,0.3,9,1
20150106,1,0.3,10,1
20150107,1,0,0,1
20150108,1,0,0,5
20150109,1,0,0,4
20150110,2,0,0,2
20150111,2,0,0,2
20150112,1,0,0,1
20150113,1,0,0,1
20150114,1,0,0,1
20150115,1,0,0,5
20150116,1,0,0,4
20150117,2,0,0,2
20150118,2,0,0,2
20150119,1,0,0,1
20150120,1,0,0,1
20150121,1,0,0,1
20150122,1,0,0,5
20150123,1,0,0,4
20150124,2,0,0,2
20150125,2,0,0,2
20150126,1,0,0,1
20150127,1,0,0,1
20150128,1,0,0,1
20150129,1,0,0,5
20150130,1,0,0,4
20150131,2,0,0,2
20150201,2,0,0,2
20150202,1,0,0,1
20150203,1,0,0,1
20150204,1,0,0,1
20150205,1,0,0,5
20150206,1,0,0,4
20150207,2,0,0,2
20150208,2,0,0,2
20150209,1,0,0,1
20150210,1,0,0,1
20150211,1,0,0,1
20150212,1,0,0,5
20150213,1,0,0,4
20150214,2,0,0,2
20150215,2,0.6,13,2
20150216,1,0.6,12,5
20150217,1,0.8,11,4
20150218,3,1,1,3
20150219,3,1,2,3
20150220,3,1,3,3
20150221,3,1,4,3
20150222,3,1,5,3
20150223,3,1,6,3
20150224,3,1,7,3
20150225,1,0.5,8,1
20150226,1,0.3,9,1
20150227,1,0.3,10,5
20150228,1,0,0,4
20150301,2,0,0,2
20150302,1,0,0,1
20150303,1,0,0,1
20150304,1,0,0,1
20150305,1,0,0,5
20150306,1,0,0,4
20150307,2,0,0,2
20150308,2,0,0,2
20150309,1,0,0,1
20150310,1,0,0,1
20150311,1,0,0,1
20150312,1,0,0,5
20150313,1,0,0,4
20150314,2,0,0,2
20150315,2,0,0,2
20150316,1,0,0,1
20150317,1,0,0,1
20150318,1,0,0,1
20150319,1,0,0,5
20150320,1,0,0,4
20150321,2,0,0,2
20150322,2,0,0,2
20150323,1,0,0,1
20150324,1,0,0,1
20150325,1,0,0,1
20150326,1,0,0,5
20150327,1,0,0,4
20150328,2,0,0,2
20150329,2,0,0,2
20150330,1,0,0,1
20150331,1,0,0,1
20150401,1,0.6,13,1
20150402,1,0.6,12,5
20150403,1,0.8,11,4
20150404,3,1,1,3
20150405,3,1,2,3
20150406,3,1,3,3
20150407,1,0.5,8,1
20150408,1,0.3,9,1
20150409,1,0.3,10,5
20150410,1,0,0,4
20150411,2,0,0,2
20150412,2,0,0,2
20150413,1,0,0,1
20150414,1,0,0,1
20150415,1,0,0,1
20150416,1,0,0,5
20150417,1,0,0,4
20150418,2,0,0,2
20150419,2,0,0,2
20150420,1,0,0,1
20150421,1,0,0,1
20150422,1,0,0,1
20150423,1,0,0,5
20150424,1,0,0,4
20150425,2,0,0,2
20150426,2,0,0,2
20150427,1,0,0,1
20150428,1,0.6,13,1
20150429,1,0.6,12,5
20150430,1,0.8,11,4
20150501,3,1,1,3
20150502,3,1,2,3
20150503,3,1,3,3
20150504,1,0.5,8,1
20150505,1,0.3,9,1
20150506,1,0.3,10,1
20150507,1,0,0,5
20150508,1,0,0,4
20150509,2,0,0,2
20150510,2,0,0,2
20150511,1,0,0,1
20150512,1,0,0,1
20150513,1,0,0,1
20150514,1,0,0,5
20150515,1,0,0,4
20150516,2,0,0,2
20150517,2,0,0,2
20150518,1,0,0,1
20150519,1,0,0,1
20150520,1,0,0,1
20150521,1,0,0,5
20150522,1,0,0,4
20150523,2,0,0,2
20150524,2,0,0,2
20150525,1,0,0,1
20150526,1,0,0,1
20150527,1,0,0,1
20150528,1,0,0,5
20150529,1,0,0,4
20150530,2,0,0,2
20150601,1,0,0,1
20150602,1,0,0,1
20150603,1,0,0,1
20150604,1,0,0,5
20150605,1,0,0,4
20150606,2,0,0,2
20150607,2,0,0,2
20150608,1,0,0,1
20150609,1,0,0,1
20150610,1,0,0,1
20150611,1,0,0,5
20150612,1,0,0,4
20150613,2,0,0,2
20150614,2,0,0,2
20150615,1,0,0,1
20150616,1,0,0,1
20150617,1,0,0,1
20150618,1,0,0,5
20150619,1,0,0,4
20150620,3,0,0,3
20150621,3,0,0,3
20150622,3,0,0,3
20150623,1,0,0,1
20150624,1,0,0,1
20150625,1,0,0,5
20150626,1,0,0,4
20150627,2,0,0,2
20150628,2,0,0,2
20150629,1,0,0,1
20150630,1,0,0,1
20150701,1,0,0,1
20150702,1,0,0,5
20150703,1,0,0,4
20150704,2,0,0,2
20150705,2,0,0,2
20150706,1,0,0,1
20150707,1,0,0,1
20150708,1,0,0,1
20150709,1,0,0,5
20150710,1,0,0,4
20150711,2,0,0,2
20150712,2,0,0,2
20150713,1,0,0,1
20150714,1,0,0,1
20150715,1,0,0,1
20150716,1,0,0,5
20150717,1,0,0,4
20150718,2,0,0,2
20150719,2,0,0,2
20150720,1,0,0,1
20150721,1,0,0,1
20150722,1,0,0,1
20150723,1,0,0,5
20150724,1,0,0,4
20150725,2,0,0,2
20150726,2,0,0,2
20150727,1,0,0,1
