Class,SaleDate,Coupon
1001,2015/4/1,0
1001,2015/4/2,0
1001,2015/4/3,0
1001,2015/4/4,0
1001,2015/4/5,0
1001,2015/4/6,0
1001,2015/4/7,0
1001,2015/4/8,0
1001,2015/4/9,0
1001,2015/4/10,0
1001,2015/4/11,0
1001,2015/4/12,0
1001,2015/4/13,0
1001,2015/4/14,0
1001,2015/4/15,0
1001,2015/4/16,0
1001,2015/4/17,0
1001,2015/4/18,0
1001,2015/4/19,0
1001,2015/4/20,0
1001,2015/4/21,0
1001,2015/4/22,0
1001,2015/4/23,0
1001,2015/4/24,0
1001,2015/4/25,0
1001,2015/4/26,0
1001,2015/4/27,0
1001,2015/4/28,0
1001,2015/4/29,0
1001,2015/4/30,0
1002,2015/4/1,0
1002,2015/4/2,0
1002,2015/4/3,0
1002,2015/4/4,0
1002,2015/4/5,0
1002,2015/4/6,0
1002,2015/4/7,0
1002,2015/4/8,0
1002,2015/4/9,0
1002,2015/4/10,0
1002,2015/4/11,0
1002,2015/4/12,0
1002,2015/4/13,0
1002,2015/4/14,0
1002,2015/4/15,0
1002,2015/4/16,0
1002,2015/4/17,0
1002,2015/4/18,0
1002,2015/4/19,0
1002,2015/4/20,0
1002,2015/4/21,0
1002,2015/4/22,0
1002,2015/4/23,0
1002,2015/4/24,0
1002,2015/4/25,0
1002,2015/4/26,0
1002,2015/4/27,0
1002,2015/4/28,0
1002,2015/4/29,0
1002,2015/4/30,0
1004,2015/4/1,0
1004,2015/4/2,0
1004,2015/4/3,0
1004,2015/4/4,0
1004,2015/4/5,0
1004,2015/4/6,0
1004,2015/4/7,0
1004,2015/4/8,0
1004,2015/4/9,0
1004,2015/4/10,0
1004,2015/4/11,0
1004,2015/4/12,0
1004,2015/4/13,0
1004,2015/4/14,0
1004,2015/4/15,0
1004,2015/4/16,0
1004,2015/4/17,0
1004,2015/4/18,0
1004,2015/4/19,0
1004,2015/4/20,0
1004,2015/4/21,0
1004,2015/4/22,0
1004,2015/4/23,0
1004,2015/4/24,0
1004,2015/4/25,0
1004,2015/4/26,0
1004,2015/4/27,0
1004,2015/4/28,0
1004,2015/4/29,0
1004,2015/4/30,0
1005,2015/4/1,0
1005,2015/4/2,0
1005,2015/4/3,0
1005,2015/4/4,0
1005,2015/4/5,0
1005,2015/4/6,0
1005,2015/4/7,0
1005,2015/4/8,0
1005,2015/4/9,0
1005,2015/4/10,0
1005,2015/4/11,0
1005,2015/4/12,0
1005,2015/4/13,0
1005,2015/4/14,0
1005,2015/4/15,0
1005,2015/4/16,0
1005,2015/4/17,0
1005,2015/4/18,0
1005,2015/4/19,0
1005,2015/4/20,0
1005,2015/4/21,0
1005,2015/4/22,0
1005,2015/4/23,0
1005,2015/4/24,0
1005,2015/4/25,0
1005,2015/4/26,0
1005,2015/4/27,0
1005,2015/4/28,0
1005,2015/4/29,0
1005,2015/4/30,0
1006,2015/4/1,0
1006,2015/4/2,0
1006,2015/4/3,0
1006,2015/4/4,0
1006,2015/4/5,0
1006,2015/4/6,0
1006,2015/4/7,0
1006,2015/4/8,0
1006,2015/4/9,0
1006,2015/4/10,0
1006,2015/4/11,0
1006,2015/4/12,0
1006,2015/4/13,0
1006,2015/4/14,0
1006,2015/4/15,0
1006,2015/4/16,0
1006,2015/4/17,0
1006,2015/4/18,0
1006,2015/4/19,0
1006,2015/4/20,0
1006,2015/4/21,0
1006,2015/4/22,0
1006,2015/4/23,0
1006,2015/4/24,0
1006,2015/4/25,0
1006,2015/4/26,0
1006,2015/4/27,0
1006,2015/4/28,0
1006,2015/4/29,0
1006,2015/4/30,0
1007,2015/4/1,0
1007,2015/4/2,0
1007,2015/4/3,0
1007,2015/4/4,0
1007,2015/4/5,0
1007,2015/4/6,0
1007,2015/4/7,0
1007,2015/4/8,0
1007,2015/4/9,0
1007,2015/4/10,0
1007,2015/4/11,0
1007,2015/4/12,0
1007,2015/4/13,0
1007,2015/4/14,0
1007,2015/4/15,0
1007,2015/4/16,0
1007,2015/4/17,0
1007,2015/4/18,0
1007,2015/4/19,0
1007,2015/4/20,0
1007,2015/4/21,0
1007,2015/4/22,0
1007,2015/4/23,0
1007,2015/4/24,0
1007,2015/4/25,0
1007,2015/4/26,0
1007,2015/4/27,0
1007,2015/4/28,0
1007,2015/4/29,0
1007,2015/4/30,0
1099,2015/4/1,0
1099,2015/4/2,0
1099,2015/4/3,0
1099,2015/4/4,0
1099,2015/4/5,0
1099,2015/4/6,0
1099,2015/4/7,0
1099,2015/4/8,0
1099,2015/4/9,0
1099,2015/4/10,0
1099,2015/4/11,0
1099,2015/4/12,0
1099,2015/4/13,0
1099,2015/4/14,0
1099,2015/4/15,0
1099,2015/4/16,0
1099,2015/4/17,0
1099,2015/4/18,0
1099,2015/4/19,0
1099,2015/4/20,0
1099,2015/4/21,0
1099,2015/4/22,0
1099,2015/4/23,0
1099,2015/4/24,0
1099,2015/4/25,0
1099,2015/4/26,0
1099,2015/4/27,0
1099,2015/4/28,0
1099,2015/4/29,0
1099,2015/4/30,0
1101,2015/4/1,0
1101,2015/4/2,0
1101,2015/4/3,0
1101,2015/4/4,0
1101,2015/4/5,0
1101,2015/4/6,0
1101,2015/4/7,0
1101,2015/4/8,0
1101,2015/4/9,0
1101,2015/4/10,0
1101,2015/4/11,0
1101,2015/4/12,0
1101,2015/4/13,0
1101,2015/4/14,0
1101,2015/4/15,0
1101,2015/4/16,0
1101,2015/4/17,0
1101,2015/4/18,0
1101,2015/4/19,0
1101,2015/4/20,0
1101,2015/4/21,0
1101,2015/4/22,0
1101,2015/4/23,0
1101,2015/4/24,0
1101,2015/4/25,0
1101,2015/4/26,0
1101,2015/4/27,0
1101,2015/4/28,0
1101,2015/4/29,0
1101,2015/4/30,0
1102,2015/4/1,0
1102,2015/4/2,0
1102,2015/4/3,0
1102,2015/4/4,0
1102,2015/4/5,0
1102,2015/4/6,0
