Class,parClass,SaleDate,saleCount,Coupon
1001,10,2015/1/1,3,0
1001,10,2015/1/2,6,0
1001,10,2015/1/3,7,0
1001,10,2015/1/4,5,0
1001,10,2015/1/5,9,0
1001,10,2015/1/6,5,0
1001,10,2015/1/7,28,0
1001,10,2015/1/8,7,0
1001,10,2015/1/9,4,0
1001,10,2015/1/10,4,0
1001,10,2015/1/11,3,0
1001,10,2015/1/12,12,0
1001,10,2015/1/13,5,0
1001,10,2015/1/14,16,0
1001,10,2015/1/15,9,0
1001,10,2015/1/16,9,0
1001,10,2015/1/17,3,0
1001,10,2015/1/18,5,0
1001,10,2015/1/19,4,0
1001,10,2015/1/20,9,0
1001,10,2015/1/21,25,0
1001,10,2015/1/22,6,0
1001,10,2015/1/23,7,0
1001,10,2015/1/24,2,0
1001,10,2015/1/25,5,0
1001,10,2015/1/26,13,0
1001,10,2015/1/27,12,0
1001,10,2015/1/28,35,0
1001,10,2015/1/29,9,0
1001,10,2015/1/30,4,0
1001,10,2015/1/31,6,0
1001,10,2015/2/1,5,0
1001,10,2015/2/2,5,0
1001,10,2015/2/3,9,0
1001,10,2015/2/4,0,0
1001,10,2015/2/5,10,0
1001,10,2015/2/6,4,0
1001,10,2015/2/7,1,0
1001,10,2015/2/8,10,0
1001,10,2015/2/9,8,0
1001,10,2015/2/10,14,0
1001,10,2015/2/11,25,0
1001,10,2015/2/12,6,0
1001,10,2015/2/13,6,0
1001,10,2015/2/15,15,0
1001,10,2015/2/16,9,0
1001,10,2015/2/17,16,0
1001,10,2015/2/18,9,0
1001,10,2015/2/19,1,0
1001,10,2015/2/20,0,0
1001,10,2015/2/21,2,0
1001,10,2015/2/22,4,0
1001,10,2015/2/23,2,0
1001,10,2015/2/24,1,0
1001,10,2015/2/25,0,0
1001,10,2015/2/26,2,0
1001,10,2015/2/27,3,0
1001,10,2015/2/28,4,0
1001,10,2015/3/1,8,0
1001,10,2015/3/2,9,0
1001,10,2015/3/3,8,0
1001,10,2015/3/4,12,0
1001,10,2015/3/5,9,0
1001,10,2015/3/6,3,0
1001,10,2015/3/7,5,0
1001,10,2015/3/8,5,0
1001,10,2015/3/9,13,0
1001,10,2015/3/10,5,0
1001,10,2015/3/11,10,0
1001,10,2015/3/12,5,0
1001,10,2015/3/13,6,0
1001,10,2015/3/14,10,0
1001,10,2015/3/15,9,0
1001,10,2015/3/16,6,0
1001,10,2015/3/17,11,0
1001,10,2015/3/18,20,0
1001,10,2015/3/19,5,0
1001,10,2015/3/20,3,0
1001,10,2015/3/21,1,0
1001,10,2015/3/22,4,0
1001,10,2015/3/23,2,0
1001,10,2015/3/24,6,0
1001,10,2015/3/25,22,0
1001,10,2015/3/26,7,0
1001,10,2015/3/27,3,0
1001,10,2015/3/28,3,0
1001,10,2015/3/29,5,0
1001,10,2015/3/30,6,0
1001,10,2015/4/1,17,0
1001,10,2015/4/2,10,0
1001,10,2015/4/3,5,0
1001,10,2015/4/4,9,0
1001,10,2015/4/5,7,0
1001,10,2015/4/6,7,0
1001,10,2015/4/7,10,0
1001,10,2015/4/8,13,0
1001,10,2015/4/10,8,0
1001,10,2015/4/11,9,0
1001,10,2015/4/12,16,0
1001,10,2015/4/13,6,0
1001,10,2015/4/14,4,0
1001,10,2015/4/15,20,0
1001,10,2015/4/17,8,0
1001,10,2015/4/18,4,0
1001,10,2015/4/19,6,0
1001,10,2015/4/20,6,0
1001,10,2015/4/21,7,0
1001,10,2015/4/22,20,0
1001,10,2015/4/23,6,0
1001,10,2015/4/24,13,0
1001,10,2015/4/25,4,0
1001,10,2015/4/26,8,0
1001,10,2015/4/27,3,0
1001,10,2015/4/28,10,0
1001,10,2015/4/29,14,0
1001,10,2015/4/30,11,0
1002,10,2015/1/1,0,0
1002,10,2015/1/2,0,0
1002,10,2015/1/3,0,0
1002,10,2015/1/4,0,0
1002,10,2015/1/5,1,0
1002,10,2015/1/6,0,0
1002,10,2015/1/7,1,0
1002,10,2015/1/8,1,0
1002,10,2015/1/9,0,0
1002,10,2015/1/10,0,0
1002,10,2015/1/11,0,0
1002,10,2015/1/12,0,0
1002,10,2015/1/13,0,0
1002,10,2015/1/14,0,0
1002,10,2015/1/15,0,0
1002,10,2015/1/16,0,0
1002,10,2015/1/17,0,0
1002,10,2015/1/18,0,0
1002,10,2015/1/19,0,0
1002,10,2015/1/20,0,0
1002,10,2015/1/21,0,0
1002,10,2015/1/22,0,0
1002,10,2015/1/23,1,0
1002,10,2015/1/24,0,0
1002,10,2015/1/25,1,0
1002,10,2015/1/26,0,0
1002,10,2015/1/27,0,0
1002,10,2015/1/28,0,0
1002,10,2015/1/29,0,0
1002,10,2015/1/30,0,0
1002,10,2015/1/31,1,0
1002,10,2015/2/1,2,0
1002,10,2015/2/2,0,0
1002,10,2015/2/3,0,0
1002,10,2015/2/4,0,0
1002,10,2015/2/5,0,0
1002,10,2015/2/6,1,0
1002,10,2015/2/7,0,0
1002,10,2015/2/8,0,0
1002,10,2015/2/9,0,0
1002,10,2015/2/10,2,0
1002,10,2015/2/11,2,0
1002,10,2015/2/12,0,0
1002,10,2015/2/13,2,0
1002,10,2015/2/15,1,0
1002,10,2015/2/16,2,0
1002,10,2015/2/17,0,0
1002,10,2015/2/18,0,0
1002,10,2015/2/19,0,0
1002,10,2015/2/20,0,0
1002,10,2015/2/21,0,0
1002,10,2015/2/22,1,0
1002,10,2015/2/23,0,0
1002,10,2015/2/24,0,0
1002,10,2015/2/25,0,0
1002,10,2015/2/26,0,0
1002,10,2015/2/27,0,0
1002,10,2015/2/28,0,0
1002,10,2015/3/1,0,0
1002,10,2015/3/2,0,0
1002,10,2015/3/3,0,0
1002,10,2015/3/4,0,0
1002,10,2015/3/5,0,0
1002,10,2015/3/6,0,0
1002,10,2015/3/7,0,0
1002,10,2015/3/8,0,0
1002,10,2015/3/9,0,0
1002,10,2015/3/10,0,0
1002,10,2015/3/11,1,0
1002,10,2015/3/12,0,0
1002,10,2015/3/13,0,0
1002,10,2015/3/14,0,0
1002,10,2015/3/15,0,0
1002,10,2015/3/16,0,0
1002,10,2015/3/17,0,0
1002,10,2015/3/18,0,0
1002,10,2015/3/19,0,0
1002,10,2015/3/20,0,0
1002,10,2015/3/21,0,0
1002,10,2015/3/22,0,0
1002,10,2015/3/23,0,0
1002,10,2015/3/24,0,0
1002,10,2015/3/25,1,0
1002,10,2015/3/26,0,0
1002,10,2015/3/27,0,0
1002,10,2015/3/28,0,0
1002,10,2015/3/29,0,0
1002,10,2015/3/30,1,0
1002,10,2015/4/1,2,0
1002,10,2015/4/2,0,0
1002,10,2015/4/3,0,0
1002,10,2015/4/4,0,0
1002,10,2015/4/5,2,0
1002,10,2015/4/6,0,0
1002,10,2015/4/7,0,0
1002,10,2015/4/8,0,0
1002,10,2015/4/10,0,0
1002,10,2015/4/11,0,0
1002,10,2015/4/12,1,0
1002,10,2015/4/13,0,0
1002,10,2015/4/14,0,0
1002,10,2015/4/15,0,0
1002,10,2015/4/17,0,0
1002,10,2015/4/18,0,0
1002,10,2015/4/19,0,0
1002,10,2015/4/20,0,0
1002,10,2015/4/21,1,0
1002,10,2015/4/22,2,0
1002,10,2015/4/23,0,0
1002,10,2015/4/24,1,0
1002,10,2015/4/25,1,0
1002,10,2015/4/26,1,0
1002,10,2015/4/27,0,0
1002,10,2015/4/28,0,0
1002,10,2015/4/29,0,0
1002,10,2015/4/30,0,0
1004,10,2015/1/1,1,0
1004,10,2015/1/2,3,0
1004,10,2015/1/3,3,0
1004,10,2015/1/4,2,0
1004,10,2015/1/5,1,0
1004,10,2015/1/6,1,0
1004,10,2015/1/7,6,0
1004,10,2015/1/8,1,0
1004,10,2015/1/9,1,0
1004,10,2015/1/10,0,0
1004,10,2015/1/11,3,0
1004,10,2015/1/12,1,0
1004,10,2015/1/13,0,0
1004,10,2015/1/14,3,0
1004,10,2015/1/15,3,0
1004,10,2015/1/16,1,0
1004,10,2015/1/17,2,0
1004,10,2015/1/18,0,0
1004,10,2015/1/19,1,0
1004,10,2015/1/20,1,0
1004,10,2015/1/21,7,0
1004,10,2015/1/22,6,0
1004,10,2015/1/23,0,0
1004,10,2015/1/24,0,0
1004,10,2015/1/25,3,0
1004,10,2015/1/26,0,0
1004,10,2015/1/27,2,0
1004,10,2015/1/28,5,0
1004,10,2015/1/29,2,0
