Class,SaleDate,holidayCluster,disHoliday,month,dayOfWeek,dayOfYear,weekOfYear,parClass,cumType,parCumType,hotIndex,parHotIndex,wkDaySaleCount_median,wkDaySaleCount_mean,wkDaySaleCount_max,wkDaySaleCount_min,holDaySaleCount_median,holDaySaleCount_mean,holDaySaleCount_max,holDaySaleCount_min,wkHolRatio,price_mean,price_median,bonusRatio,bonusHolRatio,bonusNotHolRatio,bonusWeekProb,saleCount
1001,2015-05-08,1,0.0,5,4,128,19,10,175.86,157.19,0.00677,0.1372,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-09,2,0.0,5,5,129,19,10,175.86,157.19,0.01042,0.02076,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-10,2,0.0,5,6,130,19,10,175.86,157.19,0.0341,0.20668,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-11,1,0.0,5,0,131,20,10,175.86,157.19,0.03758,0.20668,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-12,1,0.0,5,1,132,20,10,175.86,157.19,0.23107,0.33148,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-13,1,0.0,5,2,133,20,10,175.86,157.19,0.23107,0.33148,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1001,2015-05-14,1,0.0,5,3,134,20,10,175.86,157.19,0.02406,0.11165,7.5,8.95,35.0,0.0,5.0,5.35,16.0,0.0,2.0,29.6098924731,29.8,0.0,0.0,0.0,0.0,0
1002,2015-05-08,1,0.0,5,4,128,19,10,6.24,157.19,0.0146,0.1372,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-09,2,0.0,5,5,129,19,10,6.24,157.19,0.0146,0.1372,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-10,2,0.0,5,6,130,19,10,6.24,157.19,0.00178,0.0138,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-11,1,0.0,5,0,131,20,10,6.24,157.19,0.00234,0.02076,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-12,1,0.0,5,1,132,20,10,6.24,157.19,0.00105,0.0138,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-13,1,0.0,5,2,133,20,10,6.24,157.19,0.01446,0.07166,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1002,2015-05-14,1,0.0,5,3,134,20,10,6.24,157.19,0.01446,0.07166,0.0,0.275,2.0,0.0,0.0,0.275,2.0,0.0,2.0,72.3636363636,80.0,0.0,0.0,0.0,0.0,0
1004,2015-05-08,1,0.0,5,4,128,19,10,42.17,157.19,0.23107,0.33148,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-09,2,0.0,5,5,129,19,10,42.17,157.19,0.02758,0.11165,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-10,2,0.0,5,6,130,19,10,42.17,157.19,0.01042,0.02076,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-11,1,0.0,5,0,131,20,10,42.17,157.19,0.02235,0.07166,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-12,1,0.0,5,1,132,20,10,42.17,157.19,0.00213,0.07166,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-13,1,0.0,5,2,133,20,10,42.17,157.19,0.02114,0.33148,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1004,2015-05-14,1,0.0,5,3,134,20,10,42.17,157.19,0.23107,0.33148,1.0,2.1375,9.0,0.0,1.0,1.3,4.0,0.0,2.0,24.730941704,19.6,0.0,0.0,0.0,0.0,0
1005,2015-05-08,1,0.0,5,4,128,19,10,5.67,157.19,0.00677,0.1372,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-09,2,0.0,5,5,129,19,10,5.67,157.19,0.01107,0.1372,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-10,2,0.0,5,6,130,19,10,5.67,157.19,0.02758,0.11165,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-11,1,0.0,5,0,131,20,10,5.67,157.19,0.00528,0.0138,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-12,1,0.0,5,1,132,20,10,5.67,157.19,0.00754,0.07166,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-13,1,0.0,5,2,133,20,10,5.67,157.19,0.02235,0.07166,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1005,2015-05-14,1,0.0,5,3,134,20,10,5.67,157.19,0.23107,0.33148,0.0,0.3125,4.0,0.0,0.0,0.125,2.0,0.0,2.0,17.02,23.0,0.0,0.0,0.0,0.0,0
1099,2015-05-08,1,0.0,5,4,128,19,10,1.89,157.19,0.00131,0.0138,0.0,0.1125,2.0,0.0,0.0,0.025,1.0,0.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0
1099,2015-05-09,2,0.0,5,5,129,19,10,1.89,157.19,0.00058,0.00117,0.0,0.1125,2.0,0.0,0.0,0.025,1.0,0.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0
1099,2015-05-10,2,0.0,5,6,130,19,10,1.89,157.19,0.07556,0.33148,0.0,0.1125,2.0,0.0,0.0,0.025,1.0,0.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0
1099,2015-05-11,1,0.0,5,0,131,20,10,1.89,157.19,0.07556,0.33148,0.0,0.1125,2.0,0.0,0.0,0.025,1.0,0.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0
1099,2015-05-12,1,0.0,5,1,132,20,10,1.89,157.19,0.00965,0.1372,0.0,0.1125,2.0,0.0,0.0,0.025,1.0,0.0,2.0,28.0,28.0,0.0,0.0,0.0,0.0,0
