Class,SaleDate,saleCount,Coupon,holidayCluster,disHoliday,month,dayOfWeek,dayOfYear,weekOfYear,parClass,cumType,parCumType,hotIndex,parHotIndex,wkDaySaleCount_median,wkDaySaleCount_mean,wkDaySaleCount_max,wkDaySaleCount_min,holDaySaleCount_median,holDaySaleCount_mean,holDaySaleCount_max,holDaySaleCount_min,wkHolRatio,bonusRatio,bonusHolRatio,bonusNotHolRatio,bonusWeekProb
1001,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,175.86,157.19,0.07556,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1002,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,6.24,157.19,0.0146,0.1372,0.0,0.275,2,0,0.0,0.275,2,0,1.83333333333,0.0,0.0,0.0,0.0
1002,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,6.24,157.19,0.00892,0.1372,0.0,0.275,2,0,0.0,0.275,2,0,1.83333333333,0.0,0.0,0.0,0.0
1004,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,42.17,157.19,0.23107,0.33148,1.0,2.1375,9,0,1.0,1.3,4,0,3.22641509434,0.0,0.0,0.0,0.0
1004,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,42.17,157.19,0.00117,0.00624,1.0,2.1375,9,0,1.0,1.3,4,0,3.22641509434,0.0,0.0,0.0,0.0
1005,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,5.67,157.19,0.01107,0.1372,0.0,0.3125,4,0,0.0,0.125,2,0,4.16666666667,0.0,0.0,0.0,0.0
1005,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,5.67,157.19,0.006,0.20668,0.0,0.3125,4,0,0.0,0.125,2,0,4.16666666667,0.0,0.0,0.0,0.0
1006,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,2.13,157.19,0.01287,0.1372,0.0,0.0875,1,0,0.0,0.125,1,0,1.16666666667,0.0,0.0,0.0,0.0
1006,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,2.13,157.19,0.00892,0.1372,0.0,0.0875,1,0,0.0,0.125,1,0,1.16666666667,0.0,0.0,0.0,0.0
1007,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,0.76,157.19,0.01042,0.02076,0.0,0.05,2,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0
1007,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,0.76,157.19,0.00318,0.04445,0.0,0.05,2,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0
1099,2015-04-29,0,0.0,1,0.6,4,2,119,18,10,1.89,157.19,0.0025,0.04445,0.0,0.1125,2,0,0.0,0.025,1,0,4.5,0.0,0.0,0.0,0.0
1099,2015-04-30,0,0.0,1,0.8,4,3,120,18,10,1.89,157.19,0.07556,0.33148,0.0,0.1125,2,0,0.0,0.025,1,0,4.5,0.0,0.0,0.0,0.0
1101,2015-04-29,0,0.0,1,0.6,4,2,119,18,11,16.45,36.87,0.23107,0.33148,0.0,0.7375,6,0,1.0,0.7,4,0,2.03448275862,0.0,0.0,0.0,0.0
1101,2015-04-30,0,0.0,1,0.8,4,3,120,18,11,16.45,36.87,0.07556,0.33148,0.0,0.7375,6,0,1.0,0.7,4,0,2.03448275862,0.0,0.0,0.0,0.0
1102,2015-04-29,0,0.0,1,0.6,4,2,119,18,11,12.48,36.87,0.23107,0.33148,0.0,0.7,4,0,0.0,0.25,3,0,5.09090909091,0.0,0.0,0.0,0.0
1102,2015-04-30,0,0.0,1,0.8,4,3,120,18,11,12.48,36.87,0.23107,0.33148,0.0,0.7,4,0,0.0,0.25,3,0,5.09090909091,0.0,0.0,0.0,0.0
1103,2015-04-29,0,0.0,1,0.6,4,2,119,18,11,6.24,36.87,0.23107,0.33148,0.0,0.3375,7,0,0.0,0.15,1,0,3.85714285714,0.0,0.0,0.0,0.0
1103,2015-04-30,0,0.0,1,0.8,4,3,120,18,11,6.24,36.87,0.01434,0.20668,0.0,0.3375,7,0,0.0,0.15,1,0,3.85714285714,0.0,0.0,0.0,0.0
1104,2015-04-29,0,0.0,1,0.6,4,2,119,18,11,1.7,36.87,0.006,0.20668,0.0,0.05,1,0,0.0,0.125,2,0,0.666666666667,0.0,0.0,0.0,0.0
1104,2015-04-30,0,0.0,1,0.8,4,3,120,18,11,1.7,36.87,0.006,0.20668,0.0,0.05,1,0,0.0,0.125,2,0,0.666666666667,0.0,0.0,0.0,0.0
1201,2015-04-29,0,0.0,1,0.6,4,2,119,18,12,1870.77,2683.71,0.00663,0.20668,86.0,87.3375,161,0,73.0,72.65,148,0,2.40350877193,0.0,0.0,0.0,0.0
1201,2015-04-30,0,0.0,1,0.8,4,3,120,18,12,1870.77,2683.71,0.23107,0.33148,86.0,87.3375,161,0,73.0,72.65,148,0,2.40350877193,0.0,0.0,0.0,0.0
1202,2015-04-29,0,0.0,1,0.6,4,2,119,18,12,171.14,2683.71,0.00131,0.0138,8.0,8.225,20,0,6.0,6.175,16,0,2.65322580645,0.0,0.0,0.0,0.0
1202,2015-04-30,0,0.0,1,0.8,4,3,120,18,12,171.14,2683.71,0.00659,0.02076,8.0,8.225,20,0,6.0,6.175,16,0,2.65322580645,0.0,0.0,0.0,0.0
1203,2015-04-29,0,0.0,1,0.6,4,2,119,18,12,611.74,2683.71,0.02406,0.11165,27.0,28.8,84,0,23.5,23.275,44,0,2.47210300429,0.0,0.0,0.0,0.0
1203,2015-04-30,0,0.0,1,0.8,4,3,120,18,12,611.74,2683.71,0.02172,0.02901,27.0,28.8,84,0,23.5,23.275,44,0,2.47210300429,0.0,0.0,0.0,0.0
1205,2015-04-29,0,0.0,1,0.6,4,2,119,18,12,30.07,2683.71,0.00402,0.1372,1.0,1.6,8,0,0.5,0.775,4,0,4.0,0.0,0.0,0.0,0.0
1205,2015-04-30,0,0.0,1,0.8,4,3,120,18,12,30.07,2683.71,0.00521,0.02901,1.0,1.6,8,0,0.5,0.775,4,0,4.0,0.0,0.0,0.0,0.0
1301,2015-04-29,0,0.0,1,0.6,4,2,119,18,13,1.58,65.92,0.02455,0.11165,2.0,2.5,7,0,1.0,2.05,7,0,2.40963855422,0.0,0.0,0.0,0.0
1301,2015-04-30,0,0.0,1,0.8,4,3,120,18,13,1.58,65.92,0.01007,0.07166,2.0,2.5,7,0,1.0,2.05,7,0,2.40963855422,0.0,0.0,0.0,0.0
1302,2015-04-29,0,0.0,1,0.6,4,2,119,18,13,0.65,65.92,0.02406,0.11165,1.0,0.8125,5,0,0.0,0.875,5,0,1.80555555556,0.0,0.0,0.0,0.0
1302,2015-04-30,0,0.0,1,0.8,4,3,120,18,13,0.65,65.92,0.02235,0.07166,1.0,0.8125,5,0,0.0,0.875,5,0,1.80555555556,0.0,0.0,0.0,0.0
1306,2015-04-29,0,0.0,1,0.6,4,2,119,18,13,11.54,65.92,0.02396,0.1372,0.0,0.6125,8,0,0.0,0.3,3,0,3.76923076923,0.0,0.0,0.0,0.0
1306,2015-04-30,0,0.0,1,0.8,4,3,120,18,13,11.54,65.92,0.03772,0.20668,0.0,0.6125,8,0,0.0,0.3,3,0,3.76923076923,0.0,0.0,0.0,0.0
1308,2015-04-29,0,0.0,1,0.6,4,2,119,18,13,84.34,65.92,0.23107,0.33148,4.0,3.8875,14,0,3.0,3.375,11,0,2.28676470588,0.0,0.0,0.0,0.0
1308,2015-04-30,0,0.0,1,0.8,4,3,120,18,13,84.34,65.92,0.07556,0.33148,4.0,3.8875,14,0,3.0,3.375,11,0,2.28676470588,0.0,0.0,0.0,0.0
1402,2015-04-29,0,0.0,1,0.6,4,2,119,18,14,0.38,3.4,0.00768,0.04445,0.0,0.025,1,0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0
1402,2015-04-30,0,0.0,1,0.8,4,3,120,18,14,0.38,3.4,0.23107,0.33148,0.0,0.025,1,0,0.0,0.0,0,0,2.0,0.0,0.0,0.0,0.0
1403,2015-04-29,0,0.0,1,0.6,4,2,119,18,14,3.03,3.4,0.00304,0.0138,0.0,0.1625,4,0,0.0,0.075,1,0,3.25,0.0,0.0,0.0,0.0
1403,2015-04-30,0,0.0,1,0.8,4,3,120,18,14,3.03,3.4,0.00327,0.1372,0.0,0.1625,4,0,0.0,0.075,1,0,3.25,0.0,0.0,0.0,0.0
1501,2015-04-29,0,1.0,1,0.6,4,2,119,18,15,101.99,966.64,0.0053,0.1372,3.0,3.0,12,0,2.0,2.375,10,0,2.5,0.3228,0.3714,0.3027,0.228915662651
1501,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,101.99,966.64,0.02534,0.20668,3.0,3.0,12,0,2.0,2.375,10,0,2.5,0.3228,0.3714,0.3027,0.156626506024
1502,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,3.96,966.64,0.01446,0.07166,0.0,0.125,2,0,0.0,0.075,2,0,2.5,0.1667,0.0,0.2222,0.0
1502,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,3.96,966.64,0.02235,0.07166,0.0,0.125,2,0,0.0,0.075,2,0,2.5,0.1667,0.0,0.2222,0.0
1503,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,18.88,966.64,0.0025,0.04445,0.0,0.625,4,0,0.0,0.3,2,0,3.84615384615,0.1455,0.1818,0.1333,0.222222222222
1503,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,18.88,966.64,0.0341,0.20668,0.0,0.625,4,0,0.0,0.3,2,0,3.84615384615,0.1455,0.1818,0.1333,0.0
1504,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,8.83,966.64,0.00848,0.11165,0.0,0.2375,2,0,0.0,0.25,3,0,1.72727272727,0.0,0.0,0.0,0.0
1504,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,8.83,966.64,0.02396,0.1372,0.0,0.2375,2,0,0.0,0.25,3,0,1.72727272727,0.0,0.0,0.0,0.0
1505,2015-04-29,0,15.0,1,0.6,4,2,119,18,15,359.56,966.64,0.01721,0.1372,10.0,9.9375,26,0,9.5,9.65,21,0,2.05426356589,0.9505,0.7354,1.0729,0.207972270364
1505,2015-04-30,0,9.0,1,0.8,4,3,120,18,15,359.56,966.64,0.00371,0.33148,10.0,9.9375,26,0,9.5,9.65,21,0,2.05426356589,0.9505,0.7354,1.0729,0.1143847487
1508,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,33.49,966.64,0.0341,0.20668,1.0,1.075,4,0,0.0,0.6,3,0,3.44,0.2472,0.087,0.2985,0.217391304348
1508,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,33.49,966.64,0.23107,0.33148,1.0,1.075,4,0,0.0,0.6,3,0,3.44,0.2472,0.087,0.2985,0.0869565217391
1509,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,3.04,966.64,0.02114,0.33148,0.0,0.0875,2,0,0.0,0.075,1,0,1.75,0.1,0.3333,0.0,0.0
1509,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,3.04,966.64,0.02172,0.02901,0.0,0.0875,2,0,0.0,0.075,1,0,1.75,0.1,0.3333,0.0,0.0
1510,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,38.97,966.64,0.00965,0.1372,1.0,0.9625,4,0,1.0,1.275,13,0,1.48076923077,0.29,0.4857,0.1818,0.166666666667
1510,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,38.97,966.64,0.00131,0.11165,1.0,0.9625,4,0,1.0,1.275,13,0,1.48076923077,0.29,0.4857,0.1818,0.0333333333333
1511,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,3.65,966.64,0.23107,0.33148,0.0,0.0625,2,0,0.0,0.175,1,0,0.625,0.0,0.0,0.0,0.0
1511,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,3.65,966.64,0.03758,0.20668,0.0,0.0625,2,0,0.0,0.175,1,0,0.625,0.0,0.0,0.0,0.0
1512,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,28.01,966.64,0.0146,0.1372,0.0,0.7375,7,0,0.0,0.825,11,0,1.73529411765,0.5763,0.4783,0.6216,0.428571428571
1512,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,28.01,966.64,0.01102,0.1372,0.0,0.7375,7,0,0.0,0.825,11,0,1.73529411765,0.5763,0.4783,0.6216,0.0857142857143
1513,2015-04-29,0,0.0,1,0.6,4,2,119,18,15,17.05,966.64,0.00848,0.11165,0.0,0.55,6,0,0.0,0.3,2,0,3.38461538462,0.2667,0.0,0.3636,0.615384615385
1513,2015-04-30,0,0.0,1,0.8,4,3,120,18,15,17.05,966.64,0.01721,0.1372,0.0,0.55,6,0,0.0,0.3,2,0,3.38461538462,0.2667,0.0,0.3636,0.0
